"name","pop","location"
"Berlin","3426354","https://www.google.com/maps/?q=52.5244,13.4105"
"Hamburg","1739117","https://www.google.com/maps/?q=53.5753,10.0153"
"Munich","1260391","https://www.google.com/maps/?q=48.1374,11.5755"
"Koeln","963395","https://www.google.com/maps/?q=50.9333,6.95"
"Frankfurt am Main","650000","https://www.google.com/maps/?q=50.1155,8.68417"
"Essen","593085","https://www.google.com/maps/?q=51.4566,7.01228"
"Stuttgart","589793","https://www.google.com/maps/?q=48.7823,9.17702"
"Dortmund","588462","https://www.google.com/maps/?q=51.5149,7.466"
"Duesseldorf","573057","https://www.google.com/maps/?q=51.2217,6.77616"
"Bremen","546501","https://www.google.com/maps/?q=53.0752,8.80777"
"Hannover","515140","https://www.google.com/maps/?q=52.3705,9.73322"
"Leipzig","504971","https://www.google.com/maps/?q=51.3396,12.3713"
"Duisburg","504358","https://www.google.com/maps/?q=51.4325,6.76516"
"Nuernberg","499237","https://www.google.com/maps/?q=49.4542,11.0775"
"Dresden","486854","https://www.google.com/maps/?q=51.0509,13.7383"
"Wandsbek","411422","https://www.google.com/maps/?q=53.5833,10.083"
"Bochum","385729","https://www.google.com/maps/?q=51.4817,7.21648"
"Bochum-Hordel","380000","https://www.google.com/maps/?q=51.5017,7.1756"
"Wuppertal","360797","https://www.google.com/maps/?q=51.2563,7.14816"
"Bielefeld","331906","https://www.google.com/maps/?q=52.0333,8.53333"
"Bonn","313125","https://www.google.com/maps/?q=50.7344,7.09549"
"Mannheim","307960","https://www.google.com/maps/?q=49.4891,8.46694"
"Marienthal","287101","https://www.google.com/maps/?q=53.5667,10.0833"
"Karlsruhe","283799","https://www.google.com/maps/?q=49.0094,8.40444"
"Hamburg-Nord","280000","https://www.google.com/maps/?q=53.5894,9.984"
"Wiesbaden","272432","https://www.google.com/maps/?q=50.0826,8.24932"
"Muenster","270184","https://www.google.com/maps/?q=51.9624,7.62571"
"Gelsenkirchen","270028","https://www.google.com/maps/?q=51.5051,7.09654"
"Aachen","265208","https://www.google.com/maps/?q=50.7766,6.08342"
"Moenchengladbach","261742","https://www.google.com/maps/?q=51.1854,6.44172"
"Augsburg","259196","https://www.google.com/maps/?q=48.3715,10.8985"
"Eimsbuettel","251907","https://www.google.com/maps/?q=53.5742,9.95679"
"Altona","250192","https://www.google.com/maps/?q=53.55,9.93333"
"Chemnitz","247220","https://www.google.com/maps/?q=50.8357,12.9292"
"Braunschweig","244715","https://www.google.com/maps/?q=52.2659,10.5267"
"Krefeld","237984","https://www.google.com/maps/?q=51.3364,6.55381"
"Halle (Saale)","234107","https://www.google.com/maps/?q=51.4816,11.9795"
"Hamburg-Mitte","233144","https://www.google.com/maps/?q=53.55,10.0167"
"Kiel","232758","https://www.google.com/maps/?q=54.3213,10.1349"
"Magdeburg","229826","https://www.google.com/maps/?q=52.1277,11.6292"
"Neue Neustadt","226851","https://www.google.com/maps/?q=52.15,11.6333"
"Oberhausen","219176","https://www.google.com/maps/?q=51.4781,6.8625"
"Freiburg","215966","https://www.google.com/maps/?q=47.9959,7.85222"
"Luebeck","212207","https://www.google.com/maps/?q=53.8689,10.6873"
"Erfurt","203254","https://www.google.com/maps/?q=50.9787,11.0328"
"Harburg","202571","https://www.google.com/maps/?q=53.4606,9.98388"
"Hagen","198972","https://www.google.com/maps/?q=51.3608,7.47168"
"Rostock","198293","https://www.google.com/maps/?q=54.0887,12.1405"
"Kassel","194501","https://www.google.com/maps/?q=51.3167,9.5"
"Hamm","185327","https://www.google.com/maps/?q=51.6803,7.82089"
"Mainz","184997","https://www.google.com/maps/?q=49.9842,8.2791"
"Saarbruecken","181227","https://www.google.com/maps/?q=49.2326,7.00982"
"Herne","172108","https://www.google.com/maps/?q=51.5388,7.22572"
"Muelheim","171000","https://www.google.com/maps/?q=51.4322,6.87967"
"Neukoelln","167248","https://www.google.com/maps/?q=52.4772,13.4313"
"Osnabrueck","166462","https://www.google.com/maps/?q=52.2726,8.0498"
"Solingen","164359","https://www.google.com/maps/?q=51.1734,7.0845"
"Ludwigshafen am Rhein","163196","https://www.google.com/maps/?q=49.4812,8.44641"
"Leverkusen","162738","https://www.google.com/maps/?q=51.0303,6.98432"
"Oldenburg","159218","https://www.google.com/maps/?q=53.1412,8.21467"
"Neuss","152457","https://www.google.com/maps/?q=51.1981,6.68504"
"Prenzlauer Berg Bezirk","148878","https://www.google.com/maps/?q=52.5388,13.4244"
"Bezirk Kreuzberg","147532","https://www.google.com/maps/?q=52.4997,13.4034"
"Potsdam","145292","https://www.google.com/maps/?q=52.3989,13.0657"
"Heidelberg","143345","https://www.google.com/maps/?q=49.4077,8.69079"
"Paderborn","142161","https://www.google.com/maps/?q=51.7191,8.75439"
"Darmstadt","140385","https://www.google.com/maps/?q=49.8717,8.65027"
"Wuerzburg","133731","https://www.google.com/maps/?q=49.7939,9.95121"
"Regensburg","129151","https://www.google.com/maps/?q=49.0151,12.1016"
"Wolfsburg","123064","https://www.google.com/maps/?q=52.4245,10.7815"
"Recklinghausen","122438","https://www.google.com/maps/?q=51.6138,7.19738"
"Goettingen","122149","https://www.google.com/maps/?q=51.5344,9.93228"
"Heilbronn","120733","https://www.google.com/maps/?q=49.1399,9.22054"
"Ingolstadt","120658","https://www.google.com/maps/?q=48.7651,11.4237"
"Ulm","120451","https://www.google.com/maps/?q=48.3984,9.99155"
"Bottrop","119909","https://www.google.com/maps/?q=51.5239,6.9285"
"Charlottenburg Bezirk","119857","https://www.google.com/maps/?q=52.5167,13.2833"
"Bergedorf","119665","https://www.google.com/maps/?q=53.4846,10.229"
"Pforzheim","119313","https://www.google.com/maps/?q=48.8844,8.69892"
"Offenbach","119192","https://www.google.com/maps/?q=50.1006,8.76647"
"Friedrichshain Bezirk","117829","https://www.google.com/maps/?q=52.5156,13.4548"
"Bremerhaven","117446","https://www.google.com/maps/?q=53.5502,8.57673"
"Remscheid","117118","https://www.google.com/maps/?q=51.1798,7.1925"
"Berlin Schoeneberg","116286","https://www.google.com/maps/?q=52.4839,13.3477"
"Schoneberg Bezirk","115976","https://www.google.com/maps/?q=52.4667,13.35"
"Nippes","113487","https://www.google.com/maps/?q=50.9655,6.95314"
"Reutlingen","112627","https://www.google.com/maps/?q=48.4914,9.20427"
"Furth","112025","https://www.google.com/maps/?q=49.4759,10.9886"
"Moers","107816","https://www.google.com/maps/?q=51.4534,6.6326"
"Koblenz","107319","https://www.google.com/maps/?q=50.3536,7.57883"
"Siegen","107242","https://www.google.com/maps/?q=50.8748,8.02431"
"Bergisch Gladbach","106184","https://www.google.com/maps/?q=50.9856,7.13298"
"Jena","104712","https://www.google.com/maps/?q=50.9288,11.5899"
"Gera","104659","https://www.google.com/maps/?q=50.8803,12.0819"
"Marzahn","103768","https://www.google.com/maps/?q=52.5452,13.5698"
"Hildesheim","103052","https://www.google.com/maps/?q=52.1508,9.95112"
"Erlangen","102675","https://www.google.com/maps/?q=49.591,11.0078"
"Witten","101247","https://www.google.com/maps/?q=51.4436,7.35258"
"Salzgitter","101079","https://www.google.com/maps/?q=52.1571,10.4154"
"Trier","100129","https://www.google.com/maps/?q=49.7556,6.63935"
"Zwickau","98796","https://www.google.com/maps/?q=50.7272,12.4884"
"Kaiserslautern","98732","https://www.google.com/maps/?q=49.443,7.77161"
"Iserlohn","97910","https://www.google.com/maps/?q=51.3755,7.70281"
"Schwerin","96641","https://www.google.com/maps/?q=53.6294,11.4132"
"Guetersloh","96180","https://www.google.com/maps/?q=51.9069,8.37853"
"Wilmersdorf Bezirk","94113","https://www.google.com/maps/?q=52.4833,13.3167"
"Dueren","93440","https://www.google.com/maps/?q=50.8043,6.49299"
"Esslingen","92390","https://www.google.com/maps/?q=48.7396,9.30473"
"Ratingen","91606","https://www.google.com/maps/?q=51.2972,6.84929"
"Marl","91398","https://www.google.com/maps/?q=51.6567,7.09038"
"Luenen","91009","https://www.google.com/maps/?q=51.6163,7.52872"
"Hanau am Main","88648","https://www.google.com/maps/?q=50.1342,8.91418"
"Velbert","87669","https://www.google.com/maps/?q=51.3354,7.04348"
"Ludwigsburg","87603","https://www.google.com/maps/?q=48.8973,9.19161"
"Flensburg","85838","https://www.google.com/maps/?q=54.7843,9.43961"
"Gesundbrunnen","84789","https://www.google.com/maps/?q=52.5504,13.3914"
"Cottbus","84754","https://www.google.com/maps/?q=51.7577,14.3289"
"Wilhelmshaven","84393","https://www.google.com/maps/?q=53.53,8.11253"
"Tuebingen","83416","https://www.google.com/maps/?q=48.5227,9.05222"
"Minden","82879","https://www.google.com/maps/?q=52.2895,8.91455"
"Villingen-Schwenningen","81770","https://www.google.com/maps/?q=48.0623,8.49358"
"Konstanz","81275","https://www.google.com/maps/?q=47.6603,9.17582"
"Mitte","81205","https://www.google.com/maps/?q=52.52,13.4049"
"Worms","81099","https://www.google.com/maps/?q=49.6328,8.35916"
"Lichterfelde","80149","https://www.google.com/maps/?q=52.4333,13.3076"
"Dorsten","79981","https://www.google.com/maps/?q=51.6617,6.96514"
"Luedenscheid","79386","https://www.google.com/maps/?q=51.2198,7.6273"
"Marburg an der Lahn","78895","https://www.google.com/maps/?q=50.809,8.77069"
"Neumuenster","78383","https://www.google.com/maps/?q=54.0748,9.98195"
"Wedding Bezirk","78290","https://www.google.com/maps/?q=52.5473,13.3559"
"Castrop-Rauxel","77924","https://www.google.com/maps/?q=51.5566,7.31155"
"Bogenhausen","77542","https://www.google.com/maps/?q=48.1522,11.6159"
"Dessau","77315","https://www.google.com/maps/?q=51.8386,12.2456"
"Gladbeck","76940","https://www.google.com/maps/?q=51.5708,6.98593"
"Arnsberg","76612","https://www.google.com/maps/?q=51.3833,8.08333"
"Rheine","76491","https://www.google.com/maps/?q=52.2851,7.44055"
"Viersen","76153","https://www.google.com/maps/?q=51.2543,6.39441"
"Delmenhorst","75893","https://www.google.com/maps/?q=53.0511,8.63091"
"Reinickendorf","75414","https://www.google.com/maps/?q=52.5667,13.3333"
"Bayreuth","75061","https://www.google.com/maps/?q=49.9478,11.5789"
"Hellersdorf","74847","https://www.google.com/maps/?q=52.5332,13.6088"
"Troisdorf","74749","https://www.google.com/maps/?q=50.809,7.14968"
"Giessen","74411","https://www.google.com/maps/?q=50.5873,8.67554"
"Bocholt","73943","https://www.google.com/maps/?q=51.8388,6.61531"
"Detmold","73680","https://www.google.com/maps/?q=51.9385,8.87318"
"Steglitz Bezirk","72464","https://www.google.com/maps/?q=52.4561,13.332"
"Norderstedt","71439","https://www.google.com/maps/?q=53.6859,9.98041"
"Lueneburg","71260","https://www.google.com/maps/?q=53.2509,10.4141"
"Celle","71010","https://www.google.com/maps/?q=52.6226,10.0805"
"Moabit","70911","https://www.google.com/maps/?q=52.5263,13.339"
"Dinslaken","70573","https://www.google.com/maps/?q=51.5623,6.7434"
"Bamberg","70047","https://www.google.com/maps/?q=49.8987,10.9007"
"Aschaffenburg","68551","https://www.google.com/maps/?q=49.977,9.15214"
"Neubrandenburg","68082","https://www.google.com/maps/?q=53.5641,13.2753"
"Lippstadt","67219","https://www.google.com/maps/?q=51.6737,8.34482"
"Aalen","67085","https://www.google.com/maps/?q=48.8378,10.0933"
"Neuwied","66805","https://www.google.com/maps/?q=50.4336,7.47057"
"Unna","66734","https://www.google.com/maps/?q=51.5379,7.68969"
"Plauen","66412","https://www.google.com/maps/?q=50.4973,12.1378"
"Herten","65306","https://www.google.com/maps/?q=51.5964,7.14387"
"Herford","64879","https://www.google.com/maps/?q=52.1146,8.67343"
"Grevenbroich","64779","https://www.google.com/maps/?q=51.091,6.5827"
"Weimar","64727","https://www.google.com/maps/?q=50.9803,11.329"
"Kerpen","64226","https://www.google.com/maps/?q=50.8699,6.69691"
"Fulda","63760","https://www.google.com/maps/?q=50.5516,9.67518"
"Dormagen","63582","https://www.google.com/maps/?q=51.0968,6.83167"
"Bergheim","63558","https://www.google.com/maps/?q=50.9557,6.63986"
"Garbsen","63355","https://www.google.com/maps/?q=52.4137,9.5899"
"Wesel","61685","https://www.google.com/maps/?q=51.6669,6.62037"
"Kempten (Allgaeu)","61399","https://www.google.com/maps/?q=47.7267,10.3139"
"Schwabisch Gmund","61338","https://www.google.com/maps/?q=48.7995,9.79809"
"Sindelfingen","61311","https://www.google.com/maps/?q=48.7,9.01667"
"Landshut","60488","https://www.google.com/maps/?q=48.5296,12.1618"
"Rosenheim","60167","https://www.google.com/maps/?q=47.8564,12.1225"
"Kopenick Bezirk","60128","https://www.google.com/maps/?q=52.4455,13.5745"
"Brandenburg an der Havel","59826","https://www.google.com/maps/?q=52.4167,12.55"
"Ruesselsheim","59730","https://www.google.com/maps/?q=49.9896,8.42251"
"Berlin Koepenick","59561","https://www.google.com/maps/?q=52.4425,13.5823"
"Langenfeld","59378","https://www.google.com/maps/?q=51.1082,6.94831"
"Offenburg","59238","https://www.google.com/maps/?q=48.4738,7.94495"
"Stralsund","58976","https://www.google.com/maps/?q=54.3091,13.0818"
"Stolberg","58874","https://www.google.com/maps/?q=50.7737,6.22595"
"Hameln","58666","https://www.google.com/maps/?q=52.104,9.35623"
"Zehlendorf Bezirk","58469","https://www.google.com/maps/?q=52.4333,13.25"
"Menden","58451","https://www.google.com/maps/?q=51.4434,7.77825"
"Friedrichshafen","58403","https://www.google.com/maps/?q=47.6569,9.47554"
"Goeppingen","58040","https://www.google.com/maps/?q=48.7035,9.65209"
"Goerlitz","57751","https://www.google.com/maps/?q=51.1552,14.9885"
"Pankow","57113","https://www.google.com/maps/?q=52.5693,13.4019"
"Hattingen","56866","https://www.google.com/maps/?q=51.3989,7.18557"
"Tempelhof Bezirk","56669","https://www.google.com/maps/?q=52.4667,13.4"
"Hilden","56565","https://www.google.com/maps/?q=51.1682,6.93093"
"Sankt Augustin","56094","https://www.google.com/maps/?q=50.7754,7.197"
"Eschweiler","55778","https://www.google.com/maps/?q=50.8185,6.27184"
"Ahlen","55280","https://www.google.com/maps/?q=51.7634,7.8887"
"Bad Salzuflen","54899","https://www.google.com/maps/?q=52.0862,8.74434"
"Euskirchen","54889","https://www.google.com/maps/?q=50.6606,6.78722"
"Meerbusch","54826","https://www.google.com/maps/?q=51.2527,6.68807"
